general,,,,,,,,conciència del sentir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elecció personal,,,,,,responsabilidad individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entorn - Què passa? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ids,consentiment,dades demogràfiques,,,,,,"1. Últimament, amb quina freqüència has sentit les següents emocions?",,,,,,,,,,,,,,,,,,,,,,,,"Voldríem mirar algunes emocions més. D’aquestes altres, selecciona sols aquelles que últimament hagis sentit",,,,,,,,,,,,,,,,,,2. Sabries explicar com se senten últimament…?,,,,"3. Com esteu vivint emocionalment, tu i les persones de la teva edat, el moment actual? ","1. Últimament, quan vull donar resposta a una situació emocionalment complexa, jo...","2. Últimament, quan sento estrès, por, tristesa, ràbia o alguna altre emoció desagradable, jo...","3. Últimament, davant de moments de complexitat emocional, jo... ",,,,"1. Davant de les diferents emocions que apareixen en situacions complexes, quins comportaments tens? Què fas? (marca totes les que facis)",reactividad - freeze,reactividad - lucha,reactividad - huir,reactividad - mochila,reactividad - mochila,reactividad - chubasquero,reactividad - chubasquero,descongestión - expresión,descongestión - ayuda,descongestión - amor,descongestión - descanso,descongestión - fluir,sugestión - buscar alternativas,sugestión - cambiar mirada,sugestión - ganar amplitud,digestión - aceptación,digestión - comprensión/aprendizaje,"digestión - dejar ir/soltar, me dejo crecer","2. Si sents angoixa, disgust o tristesa profunda, a qui recorres? (marca totes les que creguis que tenen a veure amb el que fas)",,,,,,,,,"1. Pensa en les relacions que has tingut últimament (amb les teves amistats, família, comunitat escolar, etc.). Quan ha sigut l’última vegada que has sentit que algú et preguntava de veritat, amb ànim de saber la teva resposta, com et sents?",,,,"2. Últimament, com estàs vivint emocionalment les següents situacions?",,,,,,,,,,,,,,,,,,,"3.Has viscut altres situacions emocionalment complexes, més enllà de les que t'hem proposat a l'anterior pregunta? Com t'has sentit? (recorda que aquesta informació és anònima):",,"4.Quan et sents malament, emocionalment parlant, com preferiries que les persones del teu entorn t’ajudessin?  ",,"5.Quins recursos, serveis, activitats trobes al teu abast, al teu entorn, que ajuden a potenciar el teu benestar emocional?",
Marca temporal,"A continuació, i amb aquesta informació, marca si acceptes participar d’aquest estudi contestant a aquest qüestionari:",EDAT,OCUPACIÓ,Distribución Territorial,Sexo biológico,Género,Personas con quien viven,Alegria,Amor/Estima,Confiança,Desconfiança,Desil·lusió / Decepció,Fàstic/Aversió,Felicitat,Impotència,Indignació,Inquietud / Intranquil·litat,Inseguretat,Motivació,Nervis / Estrès,Por,Preocupació,Ràbia / Enfado,Satisfacció,Seguretat,Serenitat,Solitud,Sorpresa,Tranquil·litat,Tristesa,Vergonya,Presència d'emocions,Alleujament,Angoixa,Culpa,Desesperació,Enyorança,Esperança,Frustració,Gratitud,Il·lusió,Odi,Pànic,Pau,Plenitud,Rancor,Rebuig,Remordiment,Temor,La teva família,Les teves amistats,"Els teus educadors/es (profes, monis, entrenadors/es)","La societat (altres famílies, veïns/es, persones de la teva comunitat d’altres edats)",categoria moment actual,categoria situació complexe,categria emoció desagradable,"a. Intento prendre decisions centrat o centrada, soc coherent amb el que sento, penso i faig",b. Procuro connectar amb el meu benestar intern i escollir activar les meves habilitats i fortaleses,"c. Miro tot el que em passa i, tot i que algunes coses són complexes, intento seguir cap endavant i mantenir-me en equilibri","d. Tot i que hi ha coses que no es poden canviar, sí que puc canviar com ho visc. Intento viure-les des del benestar i, fins i tot influir positivament en el meu entorn",categoria comportaments,Em bloquejo. Em costa respondre.,Perdo el control i puc arribar a tenir conductes conflictives.,Faig com si res i m'evadeixo de les meves emocions.,"M’ho guardo, prefereixo no expressar com estic o com em sento.","Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat.","Les situacions complexes no són la meva responsabilitat, ja s’ocuparà un altre.","M’és igual, no m’afecta.","Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.).",Busco i/o demano ajuda.,"Em cuido, em mimo, connecto amb el meu benestar.","Descanso de les emocions difícils per recarregar energia, llavors les abordo.","No em deixo portar per la situació, procuro el millor per a mi.",Busco alternatives per resoldre el que sento.,Busco altres punts de vista que m’ajudin a sentir-me millor.,Prenc distància per mirar i comprendre el millor possible el que em passa.,Accepto el que em passa i em permeto sentir-ho sense jutjar-me.,Comprenc el que sento i trec aprenentatges que m’enforteixen.,"Deixo anar el que ja no necessito ni em fa bé, em deixo ser la millor versió de mi.",categoria suport,Amistats,Familiars,"Professionals de la salut (psicòlegs/gues, infermeres/es, etc.)","Professionals de l’educació (monis, entrenadors/es, profes, etc.)",Xarxes socials (comunitat on-line),Ningú,A mi mateix/a,Altre,La teva família,Les teves amistats,"Els teus educadors/es (profes, monis, entrenadors/es)","La societat (altres famílies, veïns/es, persones d’altres edats de la teva comunitat",Les relacions familiars,Les relacions amb amistats,"Les relacions amb educadores/as (profes, monis, entrenadors/es)",Les relacions amb la comunitat (persones del meu municipi),"Les relacions digitals (followers, contactes, etc.)",El consum de substàncies,Les meves pèrdues o dols,La meva personalitat,L’afrontament de la situació derivada de la COVID19,L’afrontament de malalties,La meva situació socioeconòmica,Exercir llibertats i drets,La meva educació i futur acadèmic,"El meu lleure, la diversió i el joc",La meva autoestima,La meva afectivitat i sexualitat,Situacions de bullying o ciberbullying,Situacions de discriminació i demostracions d’odi,Situacions de violències de gènere i/o de control en la parella,resposta oberta,commentaris revisors,resposta oberta,commentaris revisors,resposta oberta,commentaris revisors
44153.76439,Accepto,17,Formació Professional,Cubelles,Femella,Dona,4,Algunes vegades,Algunes vegades,Poc,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Poc,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,"Angoixa, Frustració",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,No sé com se senten de veritat,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","M’escolto i em situo en el meu benestar, escullo l’opció que m’ajuda a sentir-me verdaderament millor.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Algunes vegades,Algunes vegades,Algunes vegades,Poc o no gaire,"Perdo el control i puc arribar a tenir conductes conflictives., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.)., Busco i/o demano ajuda., Prenc distància per mirar i comprendre el millor possible el que em passa.",0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,"Amistats, Familiars",1,1,0,0,0,0,0,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,No m'ho han preguntat,Fa 2-3 setmanes,Em sento bé,No sé com em sento,Em sento malament,Em sento bé,Em sento bé,No ho he viscut,Em sento malament,No sé com em sento,No sé com em sento,Em sento malament,No sé com em sento,Em sento bé,Em sento malament,Em sento malament,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No ho he viscut,No,,Concells i que m’escoltin i m’entenguin,,No gaires la veritat ,
44153.84659,Accepto,19,Formació Universitària,Sant Pere de Ribes,Mascle,No ho sé,3,Algunes vegades,Poc,Poc,Poc,Poc,Gens,Algunes vegades,Poc,Gens,Algunes vegades,Poc,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Gens,Poc,Poc,Algunes vegades,Algunes vegades,Gens,Poc,Algunes vegades,Gens,"Angoixa, Culpa, Desesperació, Enyorança, Gratitud, Il·lusió, Pànic, Remordiment",0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,Sabria explicar-ho,No sé com se senten de veritat,No sé com se senten de veritat,No sé com se senten de veritat,Una barreja de 'a' +'d' + 'e',"Penso en la resta, escullo què fer segons el que els demés esperen de mi.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Algunes vegades,Poc o no gaire,Sempre,Algunes vegades,"Em bloquejo. Em costa respondre., Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento., Busco altres punts de vista que m’ajudin a sentir-me millor.",1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Professionals de l’educació (monis, entrenadors/es, profes, etc.)",0,0,0,1,0,0,0,,No m'ho han preguntat,Fa 1 mes,Fa 2-3 setmanes,Fa 2-4 mesos,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,No sé com em sento,No sé com em sento,No ho he viscut,Em sento malament,Em sento malament,Em sento malament,No sé com em sento,No sé com em sento,No sé com em sento,No sé com em sento,Em sento malament,Em sento malament,No sé com em sento,No sé com em sento,Em sento malament,No recordo,,"Distreurem, entretindrem, riure",,Amistats i monitora,
44154.58486,Accepto,17,4t d’ESO,Sitges,Femella,Dona,3,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Poc,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Poc,Freqüentment,Algunes vegades,"Angoixa, Culpa, Desesperació, Frustració, Remordiment, Temor",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,Sé com se senten però no sabria com explicar-ho,Sé com se senten però no sabria com explicar-ho,Sé com se senten però no sabria com explicar-ho,Sé com se senten però no sabria com explicar-ho,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Penso en la resta, escullo què fer segons el que els demés esperen de mi.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Poc o no gaire,Poc o no gaire,Mai,Algunes vegades,"Em bloquejo. Em costa respondre., Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.).",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Amistats, Familiars, Professionals de la salut (psicòlegs/gues, infermeres/es, etc.)",1,1,1,0,0,0,0,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,No m'ho han preguntat,No sé com em sento,Em sento bé,Em sento bé,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,Em sento malament,No sé com em sento,No sé com em sento,Em sento bé,No sé com em sento,No sé com em sento,Em sento bé,No sé com em sento,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No,,Parlant,,No hi ha res,
44154.58551,Accepto,18,Formació Professional,Sant Pere de Ribes,Femella,Dona,2,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,"Angoixa, Desesperació, Frustració, Pànic",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,No sé com se senten de veritat,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Poc o no gaire,Algunes vegades,Algunes vegades,Algunes vegades,"Perdo el control i puc arribar a tenir conductes conflictives., No em deixo portar per la situació, procuro el millor per a mi.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Familiars, Professionals de la salut (psicòlegs/gues, infermeres/es, etc.)",0,1,1,0,0,0,0,,Aquesta setmana o l’anterior,No m'ho han preguntat,No m'ho han preguntat,No m'ho han preguntat,Em sento bé,No ho he viscut,No ho he viscut,No ho he viscut,No ho he viscut,No ho he viscut,No ho he viscut,No sé com em sento,No sé com em sento,Em sento malament,Em sento malament,Em sento malament,No sé com em sento,No ho he viscut,No sé com em sento,Em sento malament,No ho he viscut,No ho he viscut,No ho he viscut,"Porto molt de temps amb una malaltia i ningú em troba res ni em dona respostes, es molt frustant. ",problema de salud - cuerpo,Donant-me solucions,,Cap,
44154.58833,Accepto,17,2n Batx.,Sitges,Femella,Dona,3,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,"Esperança, Il·lusió, Plenitud",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","M’escolto i em situo en el meu benestar, escullo l’opció que m’ajuda a sentir-me verdaderament millor.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Algunes vegades,Sempre,Sempre,Sempre,"Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento., Busco alternatives per resoldre el que sento., Busco altres punts de vista que m’ajudin a sentir-me millor., Deixo anar el que ja no necessito ni em fa bé, em deixo ser la millor versió de mi.",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"Amistats, A mi mateix/a",1,0,0,0,0,0,1,,Fa 2-3 setmanes,Fa 2-3 setmanes,No m'ho han preguntat,No m'ho han preguntat,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,Em sento bé,No sé com em sento,No sé com em sento,Em sento bé,Em sento bé,Em sento bé,Em sento malament,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento malament,Em sento malament,Em sento malament,Últimament hem viscut moments econòmics difícils i m'he sentit una mica frustrada per no poder ajudar tot el que m'agradaria.,sensación de impotencia (no poder ayudar economicamente) ¿?,Escoltantme,,"Qualsevol distracció com el cinema, fer les meves extraescolars, mirar sèries, etc.",
44154.59401,Accepto,19,Formació Universitària,Vilanova i la Geltrú,Femella,Dona,4,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,"Alleujament, Angoixa, Desesperació, Enyorança, Esperança, Frustració, Gratitud, Il·lusió, Pànic, Plenitud",1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,Sé com se senten però no sabria com explicar-ho,No sé com se senten de veritat,"c. Entenem la realitat actual i, tot i que ens fa mal, trobem espais per expressar i intentar donar-li sentit.","M’escolto i em situo en el meu benestar, escullo l’opció que m’ajuda a sentir-me verdaderament millor.","Escullo mirar el que sento, escoltar-me, entendre’m, cuidar-me per així poder-me sentir millor.",Sempre,Sempre,Sempre,Sempre,"Em bloquejo. Em costa respondre., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.)., Busco i/o demano ajuda., Em cuido, em mimo, connecto amb el meu benestar., Busco alternatives per resoldre el que sento., Busco altres punts de vista que m’ajudin a sentir-me millor., Prenc distància per mirar i comprendre el millor possible el que em passa., Accepto el que em passa i em permeto sentir-ho sense jutjar-me., Comprenc el que sento i trec aprenentatges que m’enforteixen., Deixo anar el que ja no necessito ni em fa bé, em deixo ser la millor versió de mi.",1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,"Amistats, Familiars, Professionals de la salut (psicòlegs/gues, infermeres/es, etc.), A mi mateix/a",1,1,1,0,0,0,1,,Fa 2-3 setmanes,Aquesta setmana o l’anterior,No m'ho han preguntat,No m'ho han preguntat,Em sento bé,Em sento bé,Em sento bé,No ho he viscut,No sé com em sento,No ho he viscut,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento malament,No sé com em sento,No sé com em sento,No sé com em sento,Em sento bé,No sé com em sento,Em sento malament,Em sento malament,No ho he viscut,no,,"escoltant-me i intentant entendre'm, fer-me saber que no estic sola",,psicòloga,
44154.66412,Accepto,19,Formació Professional,Sant Pere de Ribes,Femella,Dona,4,Poc,Poc,Poc,Freqüentment,Freqüentment,Algunes vegades,Poc,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Poc,Poc,Freqüentment,Freqüentment,Poc,Freqüentment,Freqüentment,Algunes vegades,"Angoixa, Culpa, Desesperació, Enyorança, Odi, Pànic, Remordiment, Temor",0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,Sabria explicar-ho,Sabria explicar-ho,"c. Entenem la realitat actual i, tot i que ens fa mal, trobem espais per expressar i intentar donar-li sentit.","Penso en la resta, escullo què fer segons el que els demés esperen de mi.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Poc o no gaire,Mai,Mai,Poc o no gaire,"Em bloquejo. Em costa respondre., Perdo el control i puc arribar a tenir conductes conflictives., M’ho guardo, prefereixo no expressar com estic o com em sento., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Busco i/o demano ajuda.",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Familiars, Xarxes socials (comunitat on-line), Ningú, A mi mateix/a",0,1,0,0,1,1,1,,Fa 2-3 setmanes,Aquesta setmana o l’anterior,Fa 1 mes,No m'ho han preguntat,Em sento malament,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,Em sento malament,Em sento malament,Em sento malament,Em sento malament,Em sento malament,Em sento malament,No sé com em sento,No ho he viscut,No sé com em sento,Em sento malament,No sé com em sento,Em sento malament,Em sento malament,No ho he viscut,Amb el meu cos.,cuerpo,M'agradaria que em tomassin mes seriament.,,El psicoleg de la seguretat social.,
44154.67055,Accepto,19,Formació Professional,Vilanova i la Geltrú,Femella,Dona,4,Freqüentment,Freqüentment,Poc,Freqüentment,Algunes vegades,Gens,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Poc,Poc,Gens,Gens,Algunes vegades,Poc,Poc,Algunes vegades,Freqüentment,Angoixa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sé com se senten però no sabria com explicar-ho,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,No sé com se senten de veritat,"Jo crec que totes, variant depenent del dia","Penso en la resta, escullo què fer segons el que els demés esperen de mi.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Poc o no gaire,Poc o no gaire,Algunes vegades,Algunes vegades,"Em bloquejo. Em costa respondre., Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento.",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Professionals de la salut (psicòlegs/gues, infermeres/es, etc.)",0,0,1,0,0,0,0,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,No m'ho han preguntat,No m'ho han preguntat,Em sento bé,No sé com em sento,Em sento malament,Em sento malament,No sé com em sento,No ho he viscut,No ho he viscut,No sé com em sento,No sé com em sento,No sé com em sento,Em sento bé,No sé com em sento,No sé com em sento,No sé com em sento,Em sento malament,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,Angoixada amb els estudis.,escuela,"Preguntant, parlant amb mi una estona.",,La meva mare.,
44154.72451,Accepto,15,4t d’ESO,Cubelles,Femella,Dona,2,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Poc,Algunes vegades,Poc,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Freqüentment,Poc,Poc,Freqüentment,Poc,Poc,Poc,Poc,Algunes vegades,Poc,Freqüentment,Poc,"Angoixa, Culpa, Frustració, Odi, Pànic, Rancor",0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,No sé com se senten de veritat,Sabria explicar-ho,No sé com se senten de veritat,No sé com se senten de veritat,a. Preferim fer coses que ens distreguin del que està passant i del que sentim.,"Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Poc o no gaire,Algunes vegades,Sempre,Mai,"Perdo el control i puc arribar a tenir conductes conflictives., M’ho guardo, prefereixo no expressar com estic o com em sento., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., M’és igual, no m’afecta., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.).",0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,A mi mateix/a,0,0,0,0,0,0,1,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 2-3 setmanes,Fa 1 mes,Em sento malament,Em sento bé,Em sento malament,No ho he viscut,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,Em sento malament,Em sento bé,No ho he viscut,No ho he viscut,No ho he viscut,no n’he viscut,,escoltant-me i fent l’esforç d’intentar entendrem millor ,,"hi han psicòlegs al meu poble, i a l’espai jove també. ja hi he anat i està força bé ",
